20601,67 Cases
20602,87 Cases
20603,132 Cases
20607,37 Cases
20613,56 Cases
20616,14 Cases
20622,13 Cases
20623,16 Cases
20634,12 Cases
20636,9 Cases
20637,13 Cases
20639,35 Cases
20640,20 Cases
20646,56 Cases
20650,11 Cases
20653,28 Cases
20657,18 Cases
20659,28 Cases
20678,31 Cases
20695,33 Cases
20705,180 Cases
20706,305 Cases
20707,159 Cases
20708,113 Cases
20710,52 Cases
20711,13 Cases
20712,53 Cases
20714,9 Cases
20715,87 Cases
20716,122 Cases
20720,104 Cases
20721,156 Cases
20722,44 Cases
20723,106 Cases
20724,73 Cases
20732,16 Cases
20735,184 Cases
20736,10 Cases
20737,146 Cases
20740,85 Cases
20743,188 Cases
20744,216 Cases
20745,140 Cases
20746,133 Cases
20747,207 Cases
20748,153 Cases
20754,12 Cases
20755,9 Cases
20764,13 Cases
20769,44 Cases
20770,131 Cases
20772,214 Cases
20774,215 Cases
20781,77 Cases
20782,217 Cases
20783,417 Cases
20784,261 Cases
20785,238 Cases
20794,81 Cases
20814,70 Cases
20815,74 Cases
20816,27 Cases
20817,67 Cases
20832,41 Cases
20833,12 Cases
20841,29 Cases
20850,87 Cases
20851,42 Cases
20852,93 Cases
20853,91 Cases
20854,111 Cases
20855,25 Cases
20860,30 Cases
20866,51 Cases
20871,45 Cases
20872,32 Cases
20874,153 Cases
20876,94 Cases
20877,186 Cases
20878,107 Cases
20879,94 Cases
20882,28 Cases
20886,164 Cases
20895,67 Cases
20901,158 Cases
20902,287 Cases
20903,175 Cases
20904,320 Cases
20905,57 Cases
20906,319 Cases
20910,187 Cases
20912,101 Cases
21001,15 Cases
21009,25 Cases
21012,86 Cases
21014,52 Cases
21015,32 Cases
21029,21 Cases
21030,41 Cases
21032,26 Cases
21035,9 Cases
21037,57 Cases
21040,51 Cases
21042,43 Cases
21043,119 Cases
21044,95 Cases
21045,127 Cases
21046,27 Cases
21047,9 Cases
21048,9 Cases
21050,56 Cases
21054,59 Cases
21060,81 Cases
21061,133 Cases
21074,12 Cases
21075,78 Cases
21076,56 Cases
21078,11 Cases
21085,22 Cases
21090,31 Cases
21093,56 Cases
21102,11 Cases
21104,9 Cases
21108,36 Cases
21113,43 Cases
21114,66 Cases
21117,175 Cases
21122,97 Cases
21128,22 Cases
21131,10 Cases
21133,201 Cases
21136,73 Cases
21144,60 Cases
21146,43 Cases
21154,9 Cases
21157,100 Cases
21158,58 Cases
21163,12 Cases
21201,32 Cases
21202,58 Cases
21204,34 Cases
21205,39 Cases
21206,156 Cases
21207,166 Cases
21208,172 Cases
21209,80 Cases
21210,9 Cases
21211,19 Cases
21212,50 Cases
21213,87 Cases
21214,71 Cases
21215,320 Cases
21216,70 Cases
21217,72 Cases
21218,164 Cases
21219,14 Cases
21220,68 Cases
21221,65 Cases
21222,125 Cases
21223,50 Cases
21224,197 Cases
21225,93 Cases
21226,15 Cases
21227,99 Cases
21228,218 Cases
21229,156 Cases
21230,98 Cases
21231,49 Cases
21234,205 Cases
21236,68 Cases
21237,95 Cases
21239,109 Cases
21244,150 Cases
21286,38 Cases
21401,147 Cases
21403,105 Cases
21409,28 Cases
21502,95 Cases
21601,21 Cases
21613,23 Cases
21617,10 Cases
21620,49 Cases
21629,11 Cases
21632,30 Cases
21666,11 Cases
21701,160 Cases
21702,213 Cases
21703,214 Cases
21704,52 Cases
21713,9 Cases
21716,11 Cases
21727,12 Cases
21738,10 Cases
21740,69 Cases
21742,40 Cases
21770,16 Cases
21771,131 Cases
21774,31 Cases
21784,58 Cases
21788,16 Cases
21793,20 Cases
21797,16 Cases
21801,79 Cases
21804,117 Cases
21811,24 Cases
21826,13 Cases
21875,9 Cases
21901,12 Cases
21911,58 Cases
21921,53 Cases
