20601 - 306 Cases

20602 - 317 Cases

20603 - 347 Cases

20607 - 142 Cases

20613 - 182 Cases

20616 - 54 Cases

20619 - 45 Cases

20622 - 228 Cases

20623 - 37 Cases

20634 - 56 Cases

20636 - 34 Cases

20637 - 37 Cases

20639 - 96 Cases

20640 - 74 Cases

20646 - 195 Cases

20650 - 49 Cases

20653 - 184 Cases

20656 - 8 Cases

20657 - 95 Cases

20659 - 124 Cases

20662 - 24 Cases

20664 - 23 Cases

20675 - 11 Cases

20676 - 12 Cases

20677 - 17 Cases

20678 - 91 Cases

20685 - 27 Cases

20688 - 10 Cases

20689 - 15 Cases

20692 - 9 Cases

20695 - 112 Cases

20705 - 800 Cases

20706 - 1,385 Cases

20707 - 775 Cases

20708 - 663 Cases

20710 - 294 Cases

20711 - 95 Cases

20712 - 247 Cases

20714 - 25 Cases

20715 - 256 Cases

20716 - 304 Cases

20720 - 309 Cases

20721 - 378 Cases

20722 - 243 Cases

20723 - 425 Cases

20724 - 363 Cases

20732 - 48 Cases

20733 - 18 Cases

20735 - 750 Cases

20736 - 44 Cases

20737 - 998 Cases

20740 - 411 Cases

20743 - 696 Cases

20744 - 861 Cases

20745 - 615 Cases

20746 - 447 Cases

20747 - 694 Cases

20748 - 645 Cases

20751 - 13 Cases

20754 - 37 Cases

20755 - 17 Cases

20759 - 30 Cases

20762 - 10 Cases

20763 - 39 Cases

20764 - 22 Cases

20769 - 146 Cases

20770 - 439 Cases

20772 - 601 Cases

20774 - 646 Cases

20776 - 20 Cases

20777 - 15 Cases

20778 - 11 Cases

20781 - 406 Cases

20782 - 1,228 Cases

20783 - 2,479 Cases

20784 - 1,216 Cases

20785 - 941 Cases

20794 - 593 Cases

20814 - 272 Cases

20815 - 240 Cases

20816 - 85 Cases

20817 - 256 Cases

20818 - 10 Cases

20832 - 208 Cases

20833 - 52 Cases

20837 - 29 Cases

20841 - 69 Cases

20850 - 655 Cases

20851 - 276 Cases

20852 - 448 Cases

20853 - 550 Cases

20854 - 365 Cases

20855 - 150 Cases

20860 - 87 Cases

20861 - 12 Cases

20866 - 191 Cases

20871 - 137 Cases

20872 - 139 Cases

20874 - 745 Cases

20876 - 378 Cases

20877 - 1,047 Cases

20878 - 509 Cases

20879 - 484 Cases

20882 - 118 Cases

20886 - 679 Cases

20889 - 9 Cases

20895 - 219 Cases

20901 - 694 Cases

20902 - 1,401 Cases

20903 - 1,008 Cases

20904 - 1,211 Cases

20905 - 216 Cases

20906 - 1,829 Cases

20910 - 547 Cases

20912 - 516 Cases

21001 - 138 Cases

21009 - 168 Cases

21012 - 170 Cases

21013 - 8 Cases

21014 - 233 Cases

21015 - 108 Cases

21017 - 37 Cases

21029 - 74 Cases

21030 - 329 Cases

21032 - 81 Cases

21034 - 14 Cases

21035 - 37 Cases

21036 - 16 Cases

21037 - 235 Cases

21040 - 218 Cases

21042 - 209 Cases

21043 - 445 Cases

21044 - 412 Cases

21045 - 532 Cases

21046 - 128 Cases

21047 - 41 Cases

21048 - 48 Cases

21050 - 187 Cases

21053 - 15 Cases
